Name," Ingredients",Location Type,Price
,玉米 (https://www.notion.so/2a227a9ed3da816b8d8aecab49ba7d2d?pvs=21),metro,3根3CAD
,玉米 (https://www.notion.so/2a227a9ed3da816b8d8aecab49ba7d2d?pvs=21),IGA,4根9CAD
,蘑菇 (https://www.notion.so/2a227a9ed3da8155bcdcfef64bb8fd14?pvs=21),walmart,2CAD一盒
,蘑菇 (https://www.notion.so/2a227a9ed3da8155bcdcfef64bb8fd14?pvs=21),metro,3CAD一盒
,葡萄 (https://www.notion.so/2a327a9ed3da803e977ff3cef57826f1?pvs=21),T&T,"$7.67/kg = 3.48/lb

0.695kg, 5.33CAD"
,葡萄 (https://www.notion.so/2a327a9ed3da803e977ff3cef57826f1?pvs=21),metro,"$ 8.8/kg

1kg, $9 cad"
,果乾 (https://www.notion.so/2a427a9ed3da80a2b276c5cb6e1629c7?pvs=21),SaveOnFood,3.5CAD
,蝦 (https://www.notion.so/2a227a9ed3da814bb9bed927ef2a987f?pvs=21),SaveOnFood,6CAD一盒
,鷄蛋 (https://www.notion.so/2a227a9ed3da81a483a9daa90039e185?pvs=21),SaveOnFood,3.7CAD/6個
,小番茄 (https://www.notion.so/2a227a9ed3da811c9134f99b56dca3d8?pvs=21),SaveOnFood,6CAD一盒
,牛油果 (https://www.notion.so/2a227a9ed3da81c597c9ffb635609e47?pvs=21),SaveOnFood,5CAD/4個
,椰菜花 (https://www.notion.so/2a227a9ed3da813ab3d2cb8fc3210ccd?pvs=21),WholeFood,5CAD/1個
,橄欖 (https://www.notion.so/2a227a9ed3da8038a068e1e7dc4b7b46?pvs=21),WholeFood,"34.9/kg
5CAD 一盒"
,雞腿肉 (https://www.notion.so/2a527a9ed3da806a8245f3143dff913f?pvs=21),WholeFood,"12CAD/lb

8CAD/ 300g 兩人份量"
,藍莓 (https://www.notion.so/2a227a9ed3da8115bf5bdb8a9cf0dc52?pvs=21),WholeFood,6CAD一盒
,焦糖布丁/ Crème brûlée (https://www.notion.so/Cr-me-br-l-e-2a527a9ed3da80e59c19c0acdca42f30?pvs=21),WholeFood,3.7CAD一個
,俄國餃子 (https://www.notion.so/2a527a9ed3da801f9c49e6eff07fc09d?pvs=21),WholeFood,"15CAD "
